Country,Pop1955,Pop1960,Pop1965,Pop1970,Pop1975,Pop1980,Pop1985,Pop1990,Pop1995,Pop2000,Pop2005,Group,Cluster,F1950,F1955,F1960,F1965,F1970,F1975,F1980,F1985,F1990,F1995,F2000,F2005,L1950,L1955,L1960,L1965,L1970,L1975,L1980,L1985,L1990,L1995,L2000,L2005
Maldives,80121,92247,97769,114572,132608,153957,181749,216401,256949,301475,349106,South Asia,0,7,7,7,7,7,7,6.8,6.6,5.5533,3.8475,2.8068,2.6314,38.88,42.01,45.15,48.3,51.44,54.58,57.137,59.637,60.989,63.413,65.584,68.464
Mali,4075537,4504219,4993293,5569486,6250341,6774767,7365165,8083816,8967132,10072267,11415261,Sub-Saharan Africa,2,7.105,7.105,7.105,7.35,7.558,7.558,7.558,7.467,7.377,7.218,6.7047,6.5159,33.685,35.307,36.936,38.487,39.977,41.714,43.916,46.364,48.388,49.903,51.818,54.467
Malta,314369,328517,319164,325569,327842,364001,347039,359107,376893,389947,398534,Middle East & North Africa,5,4.136,3.735,3.098,2.165,2.074,2.019,1.963,2.019,2.021,1.848,1.458,1.37,65.944,68.136,68.896,69.456,70.648,72.167,73.547,75.039,76.274,77.402,78.617,79.44
Martinique,245815,281802,311445,325484,334654,339365,353188,373565,394021,414516,432900,America,3,5.71,5.71,5.45,5,4.08,2.65,2.14,2.14,1.962,1.9,1.9771,1.9108,56.582,60.763,64.195,66.71,69.158,71.751,73.731,75.403,76.385,77.683,78.783,79.547
Mauritania,1053003,1117376,1195012,1289420,1404403,1549589,1746923,1984449,2341749,2667859,3086859,Sub-Saharan Africa,2,6.5832,6.5832,6.5832,6.5832,6.5832,6.3998,6.1934,5.9695,5.6732,5.2609,4.8326,4.3703,40.543,42.338,44.248,46.289,48.437,50.852,53.599,56.145,58.333,60.43,62.247,64.164
Mauritius,571669,663229,755528,829511,885461,963701,1021710,1073507,1128608,1179368,1230602,Sub-Saharan Africa,2,6.269,5.971,5.718,4.241,3.247,3.063,2.45,2.171,2.29,2.05,1.908,1.863,50.986,58.089,60.246,61.557,62.944,64.93,66.711,68.74,69.745,70.736,71.954,72.801
Mexico,32929914,38578505,45142399,52775158,60678045,68347479,76767225,84913652,92880353,99926620,106202903,America,3,6.7,6.8,6.7495,6.7495,6.5,5.2505,4.25,3.6295,3.1905,2.6705,2.4005,2.211,50.789,55.19,58.299,60.11,62.361,65.032,67.405,69.498,71.455,73.67,74.902,76.195
Micronesia,35821,41777,48722,56822,66222,77080,90631,108600,105988,107754,108105,East Asia & Pacific,4,7.2,7,6.9,6.9,6.9,6.4,6,5.2,4.7932,4.5275,4.2259,3.7051,54.576,56.566,58.551,60.541,62.599,64.693,65.328,65.883,66.443,67.056,67.573,68.534
Moldova,2622424,2998981,3333549,3594517,3846519,3996278,4148172,4397798,4459595,4430654,4455421,Europe & Central Asia,1,3.5,3.44,3.15,2.66,2.56,2.44,2.55,2.64,2.111,1.7,1.5,1.4,58.4,60.5,62.3,64.2,64.8,64.8,65.006,67.554,67.276,66.75,67.922,68.865
Mongolia,844046,954652,1090200,1247600,1445600,1662380,1907701,2216340,2420663,2600835,2791272,East Asia & Pacific,4,6,6,6,7.325,7.333,6.648,5.738,4.834,3.37,2.355,2.0701,1.8685,42.244,45.248,48.251,51.253,53.754,55.491,57.489,60.222,61.271,63.625,65.033,66.803
